0,1
11ab4b15,node0 Scavenging every 660000ms
ee18716c,"Cannot assign container Container: [ContainerId: container_<*>_<*>_<*>_<*>, AllocationRequestId: <*>, Version: <*>, NodeId: ed761ad59d44:<*>, NodeHttpAddress: ed761ad59d44:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*> }, ExecutionType: GUARANTEED, ] for a reduce as either container memory less than required <memory:<*>, vCores:<*>> or no pending reduce tasks."
da450fb8,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_<*>_<*>_m_<*>
1c4b924f,Scheduling a redundant attempt for task task_<*>_<*>_m_<*>
41351536,Issuing kill to other attempt attempt_<*>_<*>_m_<*>_<*>
