name,value,relevant log,explanation
dfs.datanode.data.transfer.bandwidthPerSec,0,"INFO	Diagnostics report from attempt_1701312551309_0142_m_000002_0: [2023-11-30 12:42:49.608]Exception from container-launch.Container id: container_1701312551309_0142_01_000009
Exit code: 1",value-hit
hadoop.security.groups.cache.background.reload.threads,3,"INFO	Diagnostics report from attempt_1701312551309_0142_m_000002_0: [2023-11-30 12:42:49.608]Exception from container-launch.Container id: container_1701312551309_0142_01_000009
Exit code: 1",value-hit
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts,3,"INFO	Diagnostics report from attempt_1701312551309_0142_m_000002_0: [2023-11-30 12:42:49.608]Exception from container-launch.Container id: container_1701312551309_0142_01_000009
Exit code: 1",value-hit
