name,value,relevant log,explanation
yarn.app.mapreduce.am.job.committer.cancel-timeout,60000,"Error java.lang.ClassCastException: class java.io.IOException cannot be cast to class org.apache.hadoop.ipc.RemoteException (java.io.IOException is in module java.base of loader 'bootstrap'; org.apache.had
oop.ipc.RemoteException is in unnamed module of loader 'app')                  
        ",property-item-hit	app
yarn.app.mapreduce.am.job.committer.cancel-timeout,60000,"Error java.lang.ClassCastException: class java.io.IOException cannot be cast to class org.apache.hadoop.ipc.RemoteException (java.io.IOException is in module java.base of loader 'bootstrap'; org.apache.had
oop.ipc.RemoteException is in unnamed module of loader 'app')                  
        ",property-item-hit	am
